"Original Text","Initial","Machine translation","Better translation","Best translation"
"\Eおにいちゃんはパンツが好きなの…？","","","\E\font[3]\f[18]\-[2]Onii-chan, do you like panties...?",""
"\Eお、お兄ちゃん…はずかしいよ…","","","\E\font[3]\f[18]\-[2]O, Onii-chan... it's embarrassing...",""
"\Eおにいちゃん…
もういっぱい濡れてると思うから……しよ♥","","","\E\font[3]\f[18]\-[2]Onii-chan...
I think mine's already wet, so... let's do it.\font[0]♥\font[3]",""
"\Eおにいちゃん…見てるだけで…いいの…？
もっと…いいよ……。","","","\E\font[3]\f[18]\-[2]Onii-chan... are you sure you want to just watch...?
It's okay... to do more...",""
"\Eおにいちゃん…どうしよう…
あそこがきゅんってなって…切ないの…。","","","\E\font[3]\f[18]\-[2]Onii-chan... what should I do...?
It's throbbing down there... I can't take it anymore...",""
"\Eおにいちゃん…どこ見てるの…？
ふふ…触ってもいいよ…♥","","","\E\font[3]\f[18]\-[2]Onii-chan... What are you looking at...?
*chuckle*... It's fine, touch me as you please...\font[0]♥\font[3]",""
"\Eおにいちゃん…おまたがキュンってするの…。","","","\E\font[3]\f[18]\-[2]Onii-chan... my crotch is throbbing...",""
"\E…そ、そんなとこ…じっと見ちゃダメ…だよ。","","","\E\font[3]\f[18]\-[2]...Do, don't... stare at me like that...",""
"\Eそんなにお顔近づけてみたら…恥ずかしいよ…。","","","\E\font[3]\f[18]\-[2]If you bring your face that close... it will be embarrassing...",""
"\Eだめー！もう、ヘンなところばっかり見るんだから…。","","","\E\font[3]\f[18]\-[2]You can't! Geez, you're always looking at weird places...",""
"\Eそ、そんなとこ…見ないで…。","","","\E\font[3]\f[18]\-[2]Do, don't... look at it...",""
"ぱんつを見る","","","",""
"\E脱がせた妹のパンツだ…。
クロッチの部分は精液でベトベトになっている。","","","\E\font[3]\f[18]\-[2]These are my sister's panties that I took off.
Sticky semen covered the crotch area.",""
"\Eついさっきまで身につけられていた妹のパンツだ。
クロッチの部分が大きくシミになっている…。","","","\E\font[3]\f[18]\-[2]These are my sister's panties that she was wearing just now.
There's a big stain on the crotch...",""
"\Eいままで妹のはいていたパンツだ。
クロッチ部分がうっすらと湿っている…。","","","\E\font[3]\f[18]\-[2]These are my sister's panties that she has been wearing until now.
The crotch area is slightly damp...",""
"おしり見る","","","",""
"アナル（ピンポイント）","","","",""
"\Eほおずりしたくなるほどに白く眩しい妹のお尻だ…。","","","\E\font[3]\f[18]\-[2]My sister's butt is so bright and white that I want to rub my cheeks on it...",""
"\Eかわいらしい下着に包まれた妹のお尻だ。","","","\E\font[3]\f[18]\-[2]My sister's butt wrapped in cute underwear.",""
"\E丸みをおびた妹のお尻が揺れている…。","","","\E\font[3]\f[18]\-[2]My sister's round butt is swaying...",""
"\E眠っている妹の割れ目に舌を差し込みスジを舌でなぞる…。
分泌物と石鹸の混じり合う妹の味と匂いが口と鼻を満たす…。","","","\E\font[3]\f[18]\-[2]I stuck my tongue into my sleeping sister's folds and traced it along the line...
The taste and smell of her secretions mixed with soap filled my brain...",""
"\E膣奥へ舌を差し込み溢れる愛液を舐め啜り、
隆起したクリトリスに吸い付き舌先で撫で回す…。","","","\E\font[3]\f[18]\-[2]I inserted my tongue into the depths of her pussy, licked and slurped up the overflowing love juices. 
I sucked on her erect clit and stroked it with the tip of my tongue...",""
"\E皮に包まれた陰核に吸い付き唇と舌で優しく吸い上げる…。
膣穴をなぞるように舌を這わせ膣壁をなで上げる。","","","\E\font[3]\f[18]\-[2]I gently sucked on her clit, still wrapped in its skin...
I ran my tongue along her pussy and stroked her pussy walls.",""
"\E閉じた縦スジに沿って舌をなぞりほぐしていく…。
分泌物の味と少しのおしっこの匂いが口いっぱいに広がる…。","","","\E\font[3]\f[18]\-[2]I traced my tongue along her closed folds...
The taste of the secretion and the smell of pee spread through my mouth...",""
"寝惚け状態","","","",""
"\E妹の割れ目に舌を差し込みスジを舌でなぞる…。
分泌物と石鹸の混じり合う妹の味と匂いが口と鼻を満たす…。","","","\E\font[3]\f[18]\-[2]I stuck my tongue into my sister's folds and traced it along the line...
The taste and smell of her secretions mixed with soap filled my brain...",""
"覚醒状態","","","",""
"\Eあっ…あっ……おにいちゃん…そこっ……もっと…♥
もっと吸って…あっ…きもちいいっ…あっああっ！","","","\E\font[3]\f[18]\-[2]Ah... ah... Onii-chan... there... more...\font[0]♥\font[3]
Suck more... ah... it feels good... ah, aaah!",""
"\Eんっ…ぁ…はぁっはぁっ…おにいちゃん…おいし？
きもち…いいよ…っ♥…上手……んぁ…っ…はっ…ぁん…♥","","","\E\font[3]\f[18]\-[2]Nhn... ah... hah, hah... Onii-chan... does it taste good?
It feel... good...nh... You're good at this... nnah...nh... hah... aahn...\font[0]♥\font[3]",""
"\Eお兄ちゃんがあたしのおまんこ舐めてる…ふふ…♥
ん…いいよ……いっぱい味わってね…。","","","\E\font[3]\f[18]\-[2]Onii-chan's licking my pussy... Hehe...\font[0]♥\font[3]
Mm... It's okay... Taste it lots...",""
"\Eそんな…吸っちゃ…あっ……んぁっ…あっあんっ♥
あっ…気持ちいい…っ…きもちいいよおにいちゃん…！","","","\E\font[3]\f[18]\-[2]Don't... suck on it like that... ah... nnah... ah, ahn!\font[0]♥\font[3]
Ah... it feels good...nh... it feels good, Onii-chan...!",""
"\Eやっ…っ…そこ…おにいちゃ…だめぇ…っ…ぁ……あぅ…
きた…汚いよ……あっ…あっ……だめっ…あ、ああっ！","","","\E\font[3]\f[18]\-[2]No...nh... don't... Onii-chan... there...nh... ah... auh...
It's... dirty... ah... ah... no... ah, ahh!",""
"\Eだめっ…そんなとこ……汚い…よ…っ…あっ…
ああっ…だ、めぇ……あぅ……っ……んっ……ぁ…","","","\E\font[3]\f[18]\-[2]No... that's... dirty... aah...
Aaah... no, nooo... auh... nh... nh... ah...",""
"\Eだめっ…おにいちゃん！そこ…舐めちゃ汚っ……っ…あっ！ぁ…ぁっ！
あっ…だめ……だめなのっ……んっ…はぁっ……あ…あっ！","","","\E\font[3]\f[18]\-[2]Don't... Onii-chan! Don't... lick there...! ...Ah! Ah... ah!
Ah... no... I can't... nnh... haah... ah... ah!",""
"\Eや、やだ……おにいちゃん……そこは…だめ…。
お願い…わかって…。","","","\E\font[3]\f[18]\-[2]N, no...... Onii-chan...... not... there......
Please... understand...",""
"\Eや…嫌っ！お兄ちゃんダメッ！！
止めてお願い！もう止めて…！お兄ちゃん！","","","\E\font[3]\f[18]\-[2]No... no! Onii-chan, don't!!
Stop it, please! Stop it already...! Onii-chan!",""
"\Eやだぁ…あっ…あっ！…嫌…なのにぃ……やめてぇ……。
おにいちゃん…だめ…っ……あっあっ……もう…いやぁ…。","","","\E\font[3]\f[18]\-[2]Nooo... ah... aah! ...I hate this... please... stop...
Onii-chan... don't... ah, ah... no more...",""
"\Eな、何を…やだっ！だめぇ！！
お兄ちゃん…おにいちゃん！やめて！やめて……。","","","\E\font[3]\f[18]\-[2]Wh, what are you... No! Don't!!
Onii-chan... Onii-chan! Stop! Stop it already...",""
"\Eい…嫌……やだ………嫌…いやーっ！！！
やだ！やだぁ…止めて！だ、誰か……っ！","","","\E\font[3]\f[18]\-[2]... No... no... no... nooo!!!
No! No... stop! He, help... someone...!",""
"\E刺激され固くなった乳首を舌先で味わうように転がす…。","","","\E\font[3]\f[18]\-[2]I rolled the tip of my tongue around her erect nipples...",""
"\Eそっと妹の乳房を口に含み乳首をやさしく吸い上げる…。","","","\E\font[3]\f[18]\-[2]I gently put her breasts in my mouth and gently sucked on her nipples...",""
"\Eコリコリと固くなった乳首を吸い上げ。
舌先で弾くように転がす…","","","\E\font[3]\f[18]\-[2]I sucked on her erect nipples.
I rolled it around with the tip of my tongue...",""
"\E妹の乳房を口に含み乳首を吸い上げる…。","","","\E\font[3]\f[18]\-[2]I put her breasts in my mouth and sucked on her nipples...",""
"\Eん…きもちいいよ……♥
おにいちゃん…妹のおっぱい美味し？","","","\E\font[3]\f[18]\-[2]Nhn... it feels good...\font[0]♥\font[3]
Onii-chan... does your sister's boobs taste good?",""
"\Eおにいちゃんかわいい…♥
妹のおっぱい…いっぱい吸っていいからね…。","","","\E\font[3]\f[18]\-[2]Onii-chan, you're so cute...\font[0]♥\font[3]
It's fine... you can suck on your sister's boobs a lot...",""
"\Eんっ……はぁっ…♥
お兄ちゃん一生懸命でかわいい…。","","","\E\font[3]\f[18]\-[2]Nnh... hahh... \font[0]♥\font[3]
Onii-chan, you're so cute when you're trying so hard...",""
"\E…お兄ちゃん、なんだか赤ちゃんみたい…。ふふ","","","\E\font[3]\f[18]\-[2]...Onii-chan, you look like a baby... hehe.",""
"\Eんっ…やだ……やだやだ…。","","","\E\font[3]\f[18]\-[2]Nhn... no... no, noo...",""
"\Eい…いやっ！
お兄ちゃんやめて…。","","","\E\font[3]\f[18]\-[2]...No!
Onii-chan, stop...",""
"\Eんっ……はぁっ…
お兄ちゃん一生懸命でかわいい…。","","","\E\font[3]\f[18]\-[2]Nnh... hahh...
Onii-chan, you're so cute when you're trying so hard...",""
"乳首舐め　右","","","",""
"\Eおにいちゃんかわいい…。
妹のおっぱい…いっぱい吸っていいからね…。","","","\E\font[3]\f[18]\-[2]Onii-chan, you're so cute...
It's fine... you can suck on your sister's boobs a lot...",""
"\E尻肉を広げきゅっとすぼまった肛門に舌を這わせる、
シワの間を丁寧に舐め上げヒクく尻穴に舌先を差し入れる…。","","","\E\font[3]\f[18]\-[2]I spread her buttcheeks wide open and licked her butthole with the tip of my tongue, 
then carefully worked its way into it.",""
"\Eとろとろにほぐれた尻穴にしゃぶりつくように舐め回し、
肛門に吸い付き舌先を何度も差し入れる…。","","","\E\font[3]\f[18]\-[2]I licked all over her slippery wet butthole as if to suck on it, 
then put the tip of my tongue in and out repeatedly...",""
"\E…あっ…入って…おにいちゃんの入ってるのわかるよ。
いいよ…きれいにしてるから平気…いっぱいして…。","","","\E\font[3]\f[18]\-[2]...Ah... coming in... I can tell Onii-chan's inside.
It's okay... I cleaned it up, so don't worry... do lots of it...",""
"\Eんぁ…っ…ん……舌…きもちいいよ…♥
もっと舐めて…っ…奥まで…あっ…あぁっ…！","","","\E\font[3]\f[18]\-[2]Nnah...nh... Nnh... your tongue... feels good...\font[0]♥\font[3]
Lick it more...nh... all the way in... aah... aaah...!",""
"\Eあっあっ…きもち…いいっ…お尻…おしりがいいの…っ♥
おにいちゃん！あたし…おしりもきもちいいの…あっ…んっ！","","","\E\font[3]\f[18]\-[2]Ah, ah... it feels... good... butt sex... feels good...\font[0]♥\font[3]
Onii-chan! My butt... feels good too... Ah... Nn!",""
"\Eヒクヒクと開閉する尻穴に舌先を尖らせねじり込む、
舌先をいっぱいに伸ばし腸壁の奥を舐め上げる…。","","","\E\font[3]\f[18]\-[2]I tapered and twisted the tip of my tongue into her twitching butthole, 
stretching it to its full length as I licked up her inner walls...",""
"\Eおにいちゃん…おしりのがいいの…？
あたし…おまんこの方がいいな…うぅー…。","","","\E\font[3]\f[18]\-[2]Onii-chan... You prefer butt sex...?
I... like normal sex better though... uuuuu...",""
"\Eんっ……はぁ…おにいちゃん…きもちいいよ…。
おにいちゃんも興奮する？あたしのお尻すき…？","","","\E\font[3]\f[18]\-[2]Nhn...... hah... Onii-chan... it feels good...
Onii-chan, are you turned on too? You like my butt...?",""
"\Eあ…あぁ…お尻も…あそこも…おにいちゃんのだからね…♥
いっぱい…いっぱい舐めて…気持ちよくして…♥","","","\E\font[3]\f[18]\-[2]Ah... aah... my butt... and over there... they're Onii-chan's, after all...\font[0]♥\font[3]
Lick lots... of them... make me feel really good...\font[0]♥\font[3]",""
"\Eんっ…そんなとこ…っ……うぅ……。
ヘンな感じ…。","","","\E\font[3]\f[18]\-[2]Nhn... there..nh... uuh...
It feels weird...",""
"\Eんっ…ぁ…今日はお尻がいいの？
いいよ…していいようにしてるからいっぱい…して…。","","","\E\font[3]\f[18]\-[2]Nnh... aah... You want to do butt sex for today? 
Okay... I'll make it so we can go ahead and do lots of it...",""
"\Eあぅ…ん……んっ…はぁっ…おし…おしりぃ…♥
おにいちゃ…あっ…お尻も…きもちいいかも……あっ！","","","\E\font[3]\f[18]\-[2]Au... nn... nn... haah... my butt... my butt...\font[0]♥\font[3]
Onii-chan... ah... butt sex... might feel good too... ah!",""
"\Eきゅっと閉じた肛門に舌を這わせ舐め上げる、
尻穴を舌先でつつきシワの間を丁寧に舐めほぐす…。","","","\E\font[3]\f[18]\-[2]I gently licked her tightly contracted butthole butthole, 
and poked its entrance with the tip of my tongue...",""
"\Eやっ…っ…そこ…おにいちゃ…だめぇ…っ…ぁ……あぅ…
いやぁ…ヘンな感じ……あっ…おにいちゃ…ぅんっ…！","","","\E\font[3]\f[18]\-[2]No...nh... don't... Onii-chan... there...nh... ah... auh...
Nooo... it feels weird... aah... Onii-cha... nnh...!",""
"\E異物の侵入を阻もうと閉じる尻穴の締め付けを感じながら
固く尖らせた舌先を肛門に出し入れする…。","","","\E\font[3]\f[18]\-[2]I felt the tightness of her butthole as it tried to prevent foreign objects from entering, 
while I moved my hard-pointed tongue back and forth inside...",""
"\Eきゅっとすぼまった肛門に優しく口を寄せ、
閉じた尻穴に舌先を差し入れほぐしていく…。","","","\E\font[3]\f[18]\-[2]I gently brought my mouth close to her tightly contracted butthole, 
inserted the tip of my tongue into and loosened it...",""
"\Eやっ！おにいちゃ…っ…そこ違っ…！
き、汚いよ…ん……っ……あっ……だめぇ…。","","","\E\font[3]\f[18]\-[2]Kya! Onii-cha...nh... that's not it...!
Tha, that's dirty... nnh... ah... no...",""
"\Eやっ！？…そんなとこ…だめっ！！
そこ…だめ……お願い、お兄ちゃん…。","","","\E\font[3]\f[18]\-[2]Kya!? ...You can't... do that!!
No... not there... please, Onii-chan...",""
"\Eやだっ…だ、だめ！
お兄ちゃん！おにーちゃん！！！やめてぇ！","","","\E\font[3]\f[18]\-[2]No... no, noo!
Onii-chan! Onii-chan!!! Stop!",""
"\E尻肉を広げかぶりつくように尻穴を舌先でねぶる、
閉じた肛門に無理やり差し入れ啜りシワを舐め上げる。","","","\E\font[3]\f[18]\-[2]I spread her buttcheeks wide open and licked her butthole with the tip of my tongue, 
then forcefully worked its way into it.",""
"\E嫌っ…っ…ん……だめ！もういやぁ…！
お兄ちゃん…こんなこともう…ぁっ……いやだぁ…。","","","\E\font[3]\f[18]\-[2]I don't want... nnh... no! No more!
Onii-chan... I don't want any of this... ah... anymore...",""
"\い、嫌！！やだぁ…！
お兄ちゃん…ひどいことしないで…。","","","\E\font[3]\f[18]\-[2]No, noo!! Nooo...!
Onii-chan... don't do anything terrible...",""
"絶頂中です　※妹の台詞などを変える","","","",""
"\Eぷぁ…おにい…ん…ちゅ…れろ…ちゅ……っ……じゅる…","","","\E\font[3]\f[18]\-[2]Puah... Onii... nn... *kiss*... *lick*... *kiss*... nh... *slurp*...",""
"\E蕩け顔で見つめてくる妹と唇を重ねると
当たり前のように舌が割り込んでくる…。","","","\E\font[3]\f[18]\-[2]I pressed my lips against hers as she stared at me with an enchanted expression.
I could feel her tongue coming in as if it was a matter of course...",""
"\Eおにい…ちゃ…ん…すき…♥
ちゅ……んっ…すき……","","","\E\font[3]\f[18]\-[2]Onii-chan... I love you...\font[0]♥\font[3]
*kiss*... Mm... I love you...",""
"\Eん…ちゅ…おにいちゃん……ちゅ…えへ…♥","","","\E\font[3]\f[18]\-[2]Nn...*kiss*... Onii-chan...*kiss*...hehe...\font[0]♥\font[3]",""
"\Eおにい…ちゃ…ん…すき…ちゅ……んっ…すき……","","","\E\font[3]\f[18]\-[2]Onii-cha... nh... I love you... *kiss*... nh... I love you...",""
"■例外処理監視","","","",""
"射精、絶頂などの例外処理を判定し呼び出します","","","",""
"\Eもうこんな時間か…
1時には寝ておかないと明日にひびくな…。","","","\E\font[3]\f[18]\-[2]It's already this late... 
If I don't sleep by 1 o'clock, I'll be too tired for tomorrow...",""
"\Eさすがに朝になる前に寝ておかないとまずいな…。","","","\E\font[3]\f[18]\-[2]I really need to get some sleep before morning comes...",""
"■例外処理実行","","","",""
"タイムアップ","","","",""
"エフェクトオフ","","","",""
"\E…っともうこんな時間か…そろそろ寝ないと…！","","","\E\font[3]\f[18]\-[2]...Oh, it's already this late... I really need to go to sleep...!",""
"行為を終了させます","","","",""
"\E…一発シコシコしてから寝るか…。","","","\E\font[3]\f[18]\-[2]...I guess I'll do it once before going to sleep...",""
"\E…………","","","\E\font[3]\f[18]\-[2]..........",""
"例外処理　覚醒","","","",""
"強制中断","","","",""
"\E…い、いやっ！
……お兄ちゃん…やめて…。","","","\E\font[3]\f[18]\-[2]... No, noo!
...Onii-chan... stop...",""
"怒らない","","","",""
"\Eん…そんなにしたかったの…？","","","\E\font[3]\f[18]\-[2]Nhn... You wanted to do it that badly...?",""
"\Eん…おにいちゃん…
今日もえっちなことしてくれるの…？","","","\E\font[3]\f[18]\-[2]...Onii-chan...
Are you going to have sex with me again today...?",""
"\Eんー…おにいちゃん眠いよ……","","","\E\font[3]\f[18]\-[2]Nhhh... Onii-chan, I'm sleepy...",""
"\E今日はもう寝よう…？","","","\E\font[3]\f[18]\-[2]Let's go to sleep for today...?",""
"\E…お兄ちゃん、普通そこまでする…？","","","\E\font[3]\f[18]\-[2]...Onii-chan, would you normally go that far...?",""
"\E…お兄ちゃん、していい時とだめな時があるんだよ？","","","\E\font[3]\f[18]\-[2]...Onii-chan, there are times when you can't do it, you know?",""
"\E…もう…仕方ないなあ…。","","","\E\font[3]\f[18]\-[2]...Geez ...you can't be helped ....",""
"\E…ん…おにいちゃん……したくなったの…？","","","\E\font[3]\f[18]\-[2]...Nn... Onii-chan... did that make you feel like doing it...?",""
"\Eん…あれ…？","","","\E\font[3]\f[18]\-[2]Hmm... huh...?",""
"\Eどうして…こんな…。","","","\E\font[3]\f[18]\-[2]Why... is this...",""
"\Eや…お兄ちゃん…だめだよ……ね？","","","\E\font[3]\f[18]\-[2]...Onii-chan... you can't... okay?",""
"\E…お兄ちゃん…今日は寝かせて…おねがい…。","","","\E\font[3]\f[18]\-[2]...Onii-chan... let me sleep today... please...",""
"\E…え……い、いやっ！
なんで…？えっ…えっ？","","","\E\font[3]\f[18]\-[2]... Eh... n, no!
Why...? Ehh...... ehhh?",""
"\Eあれ…おにい…ちゃん…？","","","\E\font[3]\f[18]\-[2]Huh... Onii...-chan...?",""
"\E………んっ…こんなの…だめだよ…。","","","\E\font[3]\f[18]\-[2]... Nnh... this... you can't do this...",""
"\E………あ……えと…やさしく…して…。","","","\E\font[3]\f[18]\-[2].........Ah......umm...be gentle...",""
"\Eん…なに…？……あれ……？","","","\E\font[3]\f[18]\-[2]...What...? ...Huh...?",""
"\E………おにいちゃ……なに…してるの…。","","","\E\font[3]\f[18]\-[2]...Onii-chan... what are you... doing...?",""
"\E………おにいちゃ……え？えぇ！？
なんで…え……だ、だめだよ！","","","\E\font[3]\f[18]\-[2]...Onii-cha... ehh? ehhh!?
Why... huh...? You can't!",""
"\E………おにいちゃ……え？…なに……
だめなんだよ…兄妹なんだから……ね…？","","","\E\font[3]\f[18]\-[2]...Onii-cha... eh? ...what...
You can't... we're siblings... okay...?",""
"\E…え…？
お兄ちゃん…嘘…なんで…。","","","\E\font[3]\f[18]\-[2]...Eh...?
Onii-chan... no way... why...?",""
"\E…お、お兄ちゃん……その…なに…してるの…。","","","\E\font[3]\f[18]\-[2]...Onii-chan... umm... what are you... doing...?",""
"\E妹に怒られてしまった…。","","","\E\font[3]\f[18]\-[2]She got mad at me...",""
"おねだり","","","",""
"\E…ふぅ…いっぱい出してスッキリしたぞ…。
ふぁ……そろそろ寝ようかな…。","","","\E\font[3]\f[18]\-[2]... Phew... I feel better now that I've let out so much...
*yawn*... Maybe I should go to sleep...",""
"\E………むー…おにーちゃん…。","","","\E\font[3]\f[18]\-[2]... Mmm... Onii-chan...",""
"\Eむむ？","","","\E\font[3]\f[18]\-[2]Mmmm?",""
"\Eそーやってお兄ちゃんばっかり…
あたしだって…気持ちよくなりたいんだよ…？","","","\E\font[3]\f[18]\-[2]You're the only one who always feels good... 
I... I want to feel good too, you know...?",""
"今日は疲れた…","","","",""
"\E……ぷー…。","","","\E\font[3]\f[18]\-[2].....*cuckle*...",""
"\E………。","","","\E\font[3]\f[18]\-[2]..........",""
"\E……う…おにい…ちゃん。","","","\E\font[3]\f[18]\-[2]......Uu... Onii...-chan.",""
"\Eん？","","","\E\font[3]\f[18]\-[2]Hm?",""
"\Eも…もっと…して…
あたしも…きもちよくして…？","","","\E\font[3]\f[18]\-[2]Please... do it... more...
I... want to feel good too...",""
"\E……じぶんばっかり…。","","","\E\font[3]\f[18]\-[2]......You're only thinking about yourself...",""
"\E…あの…おにいちゃん……
も、もう少しだから…その…。","","","\E\font[3]\f[18]\-[2]...Um... Onii-chan...
I-I'm almost there... so.. um...",""
"\E……ぶぅ…。","","","\E\font[3]\f[18]\-[2]......*cuckle*...",""
"絶頂","","","",""
"嫌悪感最大","","","",""
"\E……うぅん…。","","","\E\font[3]\f[18]\-[2]......Hmm...",""
"1","","","",""
"例外処理　嫌悪感最大","","","",""
"X[移]セーブ・ロード画面描画","","","",""
"バレルート","","","",""
"\E…ほんとうに…ケダモノなの…？","","","\E\font[3]\f[18]\-[2]...Seriously... are you a beast...?",""
"\E……こんなのって…","","","\E\font[3]\f[18]\-[2]...This is...",""
"\E…最低……","","","\E\font[3]\f[18]\-[2]...You're the worst...",""
"\E…なんで…こんなこと……","","","\E\font[3]\f[18]\-[2]...Why... are you doing this...?",""
"\E…おにいちゃん……","","","\E\font[3]\f[18]\-[2]...Onii-chan...",""
"\E…信じてたのに…ひどい……。","","","\E\font[3]\f[18]\-[2]...I believed in you, but...this is just terrible...",""
"\E横なぎに倒れる木々、吹き飛んだ家…だったもの。
見えるはずのない星空、感じるはずのない夜の風─","","","\E\font[3]\f[18]\-[2]Trees tumbling sideways, houses blown away—things that were once there. 
An unexpectedly visible starry sky, a night breeze that defies expectation...",""
"\E…い、いやぁっ…！","","","\E\font[3]\f[18]\-[2]...No, nooo...!",""
"\E…いやっ…出さないでっ……","","","\E\font[3]\f[18]\-[2]...No... don't let it out inside...",""
"\E…ひどい……","","","\E\font[3]\f[18]\-[2]...This is terrible...",""
"深夜終了処理","","","",""
"終了処理","","","",""
"■■挿入浅い","","","",""
"挿入関係ここから","","","",""
"\E…先に精液を拭き取りたいぞ。","","","\E\font[3]\f[18]\-[2]...I want to wipe off the semen first.",""
"挿入中止","","","",""
"挿入　浅","","","",""
"hscene/h_s01_pose04a.png","","","",""
"hscene/h_s01_pose04b.png","","","",""
"hscene/h_s03_pose02.png","","","",""
"hscene/h_s03_pose03.png","","","",""
"精液差分を用意する必要あり","","","",""
"hscene/h_s04_sonyu.png","","","",""
"hscene/h_s04_syasei08.png","","","",""
"hscene/h_s04_syasei07.png","","","",""
"hscene/h_s04_sonyu_pantu01.png","","","",""
"hscene/h_s05_pose03_01.png","","","",""
"hscene/h_s05_pose03_02.png","","","",""
"hscene/h_s05_pose03_03.png","","","",""
"ここに貼り付け","","","",""
"cutin/cutin_210.png","","","",""
"cutin/cutin_209.png","","","",""
"cutin/cutin_208.png","","","",""
"cutin/cutin_207.png","","","",""
"cutin/cutin_107.png","","","",""
"cutin/cutin_106.png","","","",""
"cutin/cutin_180.png","","","",""
"cutin/cutin_179.png","","","",""
"\Eこんなの我慢できるわけ…ないだろ…？","","","\E\font[3]\f[18]\-[2]There is no way... I can hold back like this...",""
"ポーズ4が挿入ポーズです　","","","",""
"\E濡れてるな…。","","","\E\font[3]\f[18]\-[2]It's wet...",""
"\E柔らかくて暖かい…。","","","\E\font[3]\f[18]\-[2]Soft and warm...",""
"\Eほんの少し…先っぽだけなら…。","","","\E\font[3]\f[18]\-[2]If it's just a little... just the tip...",""
"\Eちょっと当てるだけだから…。","","","\E\font[3]\f[18]\-[2]Just a little...",""
"\Eお兄ちゃんになら…いいよ…。","","","\E\font[3]\f[18]\-[2]If it's for you... then, it's okay...",""
"\Eお兄ちゃん…挿れたいの…？
うん…いいよ…。","","","\E\font[3]\f[18]\-[2]Onii-chan... You want to stick it in...?
Yeah... go ahead....",""
"受け入れ体制OK","","","",""
"\Eぁ…ん……ん…。
おにいちゃん…きて…。","","","\E\font[3]\f[18]\-[2]Ah... nn... nn...
Onii-chan... come....",""
"\Eだ…だめぇ…。","","","\E\font[3]\f[18]\-[2]N...nooo...",""
"\Eまた…あれ、するの…？","","","\E\font[3]\f[18]\-[2]You're... doing that again...?",""
"身体はまだ気持ちはOK","","","",""
"\Eん…ぁ……やさしくしてね…。","","","\E\font[3]\f[18]\-[2]Nhn... ah... be gentle...",""
"身体も気持ちもまだ","","","",""
"\Eんっ…ぅ……っ…
ちょっとまだきついかも…。","","","\E\font[3]\f[18]\-[2]Nhn... uu... kh...
It might still be a little tight...",""
"\Eぁ…ん…
おにいちゃん…やさしくして…。","","","\E\font[3]\f[18]\-[2]Ah... nn...
Onii-chan... be gentle...",""
"\Eっ…ん…
お兄ちゃんの…おっき…。","","","\E\font[3]\f[18]\-[2]Kh... nn...
Onii-chan's... big...",""
"\Eつ…っ…！
まだ…ちょっと……痛いよ…。","","","\E\font[3]\f[18]\-[2]Gh...hh!
It still... hurts... a little...",""
"\Eあたしたち兄妹なんだよ…。","","","\E\font[3]\f[18]\-[2]We're siblings, you know...",""
"\E兄妹でこんなこと…。","","","\E\font[3]\f[18]\-[2]Siblings aren't supposed to do this...",""
"受け入れ","","","",""
"\Eぁ…ぁ……ああ…っ
おにいちゃん…だめぇ…。","","","\E\font[3]\f[18]\-[2]Ah... ah... ahh... 
Onii-chan... don't...",""
"もうひと押し","","","",""
"\Eそれだけはダメ…だよ…。
お願い…わかって、ね？","","","\E\font[3]\f[18]\-[2]That's the one thing you can't do...
Please... understand, okay?",""
"拒否","","","",""
"\E…今日のお兄ちゃん、なんだか怖いよ…。","","","\E\font[3]\f[18]\-[2]...Onii-chan's kinda scary today...",""
"拒絶","","","",""
"\E…っ！？
い、嫌っ！やだっ！！お兄ちゃんやめてっ！！","","","\E\font[3]\f[18]\-[2]...Kh!?
N, no! No!! Onii-chan, stop!!",""
"■■挿入深い","","","",""
"挿入　深","","","",""
"hscene/h_s04_syasei09.png","","","",""
"cutin/cutin_101.png","","","",""
"cutin/cutin_100.png","","","",""
"cutin/cutin_182.png","","","",""
"cutin/cutin_181.png","","","",""
"\Eぬるりと挿入ってしまった…。","","","\E\font[3]\f[18]\-[2]I slipped it in...",""
"\Eき、きつい…挿れてるだけでも…。","","","\E\font[3]\f[18]\-[2]It's, it's so tight... just by putting it in...",""
"\Eよく寝てるな…これなら…。","","","\E\font[3]\f[18]\-[2]She's sleeping well... with this...",""
"hscene/h_s04_syasei01.png","","","",""
"\E妹の膣内に挿入れたい…。","","","\E\font[3]\f[18]\-[2]I want to put it inside my sister's pussy...",""
"\E妹のはじめて…あげるね。","","","\E\font[3]\f[18]\-[2]I'll give you... my virginity...",""
"\Eあっ…ん……おにいちゃん…
あたしの中でいっぱい気持ちよくなってね…。","","","\E\font[3]\f[18]\-[2]Ah... nn... Onii-chan... 
Please make yourself feel really good inside of me...",""
"\Eん……んっ……。
お兄ちゃんの…ぜんぶ挿入ちゃったね♥","","","\E\font[3]\f[18]\-[2]Nhn......nn......
Onii-chan's... is all the way inside of me.\font[0]♥\font[3]",""
"\Eんっ…っ…
濡らさないと…きつい…よ…。","","","\E\font[3]\f[18]\-[2]Nhn...
If you don't get it wet... it will be... tight...",""
"\Eん…挿入ちゃった…。
お兄ちゃん…やさしくしてね…。","","","\E\font[3]\f[18]\-[2]Nhn... it's in...
Be gentle... Onii-chan...",""
